id,product_id,name,value,price_modifier,stock,sku
00a738c1-9cf3-4070-86fd-15ebbab8dc3e,101ab42b-4d67-4512-9b28-a7af9e41e8b5,Strength,2mg × 10 vials,0.00,100,HGHFRAGMENT176191-2MG10VIALS
01567220-32cc-44ac-a1ec-45f1179c28a3,6c65b6e2-db2b-4886-9998-e824842a4ce7,weight,5mg/cap,0.00,0,
017cb65c-1afb-40f3-9081-ea7b50a8673b,9e9d68e0-ed90-45dd-a879-c0f0ed3f845b,weight,"1mg, 2mg",0.00,0,
01803a31-fc28-423d-883e-9d210d0008f7,a4a40123-48fb-49fc-b6de-8a58eea0f688,Strength,60mg × 10 vials,243.00,100,RET-60MG-10V
01e41886-0588-4747-b7a1-c36dc905d9f7,040362af-6a5a-4f8a-9206-dd1b8bc18ce7,Dosage,500mg × 10 vials,0.00,100,
034baff8-d712-4d16-89de-cef20054399b,e6419be1-8d75-45a5-aeeb-ab54a043f1b1,weight,"5/5mg, 10/10mg",0.00,0,
0562dc61-1b54-4c19-9469-8d2d1a48a027,1324aaa3-403d-4d0b-89e4-50d041a96953,weight,30mg,0.00,0,
06410367-5b62-4e56-ba1a-168b79195cab,a93d27fc-0c11-4c0f-a4f9-5e130b45ad2c,Weight,"5mg, 10mg, 15mg, 20mg, 30mg",0.00,0,
08dec858-d0be-4c1d-8b38-cfba3a265550,9c33354b-52c8-4498-8637-1c3039118e05,weight,20mg/cap,0.00,0,
0aaaded8-c0c8-4056-97c5-48a6e7a697f0,79e9e155-dc7c-4e0f-b70e-94ddf0fa9aac,Weight,5mg,0.00,0,
0c79a442-d5cf-4d3a-b57d-bce7a6a29801,a4a40123-48fb-49fc-b6de-8a58eea0f688,Strength,30mg × 10 vials,103.00,100,RET-30MG-10V
0d54f806-2a40-451b-8d6c-e0cf5b4a2975,4e686b00-5cf1-455a-8c89-92a0cf9e59fe,Weight,5/50/2/3mg,0.00,0,
0df8a274-4fce-49b7-aab9-4b1832f014a9,46272bb6-3da3-4e7e-a61d-8c7b0fe5bd4f,Dosage,50mg × 10 vials,105.00,100,
13015cc7-24b3-402a-8794-b2b131641898,d1184cf2-13e9-4e6c-8533-3f327298404c,Strength,10mg × 10 vials,0.00,100,MT1-10MG10VIALS
1411f06c-a546-46ba-b7d0-680a9d9762b2,45141802-c832-4e72-a82c-acfa4fb251f1,weight,5mg,0.00,0,
14c70819-b881-4479-b339-13d911f60252,bc1f3995-b956-4ee5-a097-d5b012a6d38c,weight,20mg,0.00,0,
14ce5d89-0442-4047-af41-7cea84a911a6,2972a30d-9808-439e-9a6b-dfddca869121,Strength,15 IU × 10 vials,24.00,100,HGH191AASOMATROPIN-15IU10VIALS
1564cd69-2e93-4888-956e-ef524ecfbc5b,30814c98-d858-45a8-9036-1f21663d54ac,Strength,15mg × 10 vials,28.00,100,SEMAGLUTIDE-15MG10VIALS
16a8aa47-8563-4d7a-b63f-110d7ed36913,7a91f58f-85b2-41be-94a1-54e355392d2d,weight,20mg,0.00,0,
1772d832-d31a-46e7-8025-8344e1d64656,1de74b76-48ce-4c9e-86ec-8d4f12049c3d,weight,10mg,0.00,0,
17e75278-82be-46c2-8940-12a763448c77,4f25dc8a-39bd-499b-9aec-3b32d0517e0f,Dosage,10mg × 10 vials,0.00,100,
187e4e13-3623-4320-9381-f8b128a15c6f,46272bb6-3da3-4e7e-a61d-8c7b0fe5bd4f,Dosage,80mg × 10 vials,175.00,100,
1899698e-cc8b-444c-bf69-a252dfbfd6a8,a4a40123-48fb-49fc-b6de-8a58eea0f688,Strength,15mg × 10 vials,48.00,100,RET-15MG-10V
1a04cfa1-60d5-4e67-b34e-173c656aef8c,4cbc381b-76ab-4a1a-9f3a-1c4781a4c46d,Dosage,5mg × 10 vials,0.00,100,
1b55aded-5169-4d4f-b3b8-196b801c5ffb,921b7494-197f-4c06-a86c-bc5c33039016,Weight,"5mg, 10mg",0.00,0,
1f9d782d-fb20-454a-9be4-5004d4aa569e,7d0c511e-b5bf-44f5-8c59-8e65d09ac1f0,weight,"10mg, 20mg",0.00,0,
218bb142-d853-49cb-b4b9-3566c34682d6,30814c98-d858-45a8-9036-1f21663d54ac,Strength,20mg × 10 vials,38.00,100,SEMAGLUTIDE-20MG10VIALS
21ee1bcc-cf6f-4918-8d37-46f87b90fdcd,e6d9aa25-fb83-4fb5-8c7e-2e953da9b8ce,Weight,5mg,0.00,0,
230a5243-9192-4c75-9991-017e474bf2db,a9d76e10-b9b5-4ae8-9fd8-059d51703037,weight,5mg,0.00,0,
2322eec9-55df-4139-a859-99c3241b3473,b2f9d6d1-857c-4b61-a04d-fdf34c4bf0bd,Strength,2mg × 10 vials,0.00,100,CJC1295WITHDAC-2MG10VIALS
24cbc8e6-a6fe-4f3f-b630-261054d0c04e,210ebddb-3b3d-49b0-a5f3-79b20cd51546,weight,5/5mg,0.00,0,
